name,kind,area,status,return_or_variable_type,parameters
LL_COMP_Init,Function,Other libraries and assets,not_bridged,ErrorStatus,"COMP_TypeDef*, const LL_COMP_InitTypeDef*"
LL_DMA_DeInit,Function,Other libraries and assets,not_bridged,ErrorStatus,"DMA_TypeDef*, uint32_t"
LL_DMA_Init,Function,Other libraries and assets,not_bridged,ErrorStatus,"DMA_TypeDef*, uint32_t, LL_DMA_InitTypeDef*"
LL_GPIO_Init,Function,Other libraries and assets,not_bridged,ErrorStatus,"GPIO_TypeDef*, LL_GPIO_InitTypeDef*"
LL_I2C_Init,Function,Other libraries and assets,not_bridged,ErrorStatus,"I2C_TypeDef*, const LL_I2C_InitTypeDef*"
LL_LPTIM_DeInit,Function,Other libraries and assets,not_bridged,ErrorStatus,LPTIM_TypeDef*
LL_LPTIM_Init,Function,Other libraries and assets,not_bridged,ErrorStatus,"LPTIM_TypeDef*, const LL_LPTIM_InitTypeDef*"
LL_LPUART_Init,Function,Other libraries and assets,not_bridged,ErrorStatus,"USART_TypeDef*, const LL_LPUART_InitTypeDef*"
LL_RCC_GetLPUARTClockFreq,Function,Other libraries and assets,not_bridged,uint32_t,uint32_t
LL_RCC_GetUSARTClockFreq,Function,Other libraries and assets,not_bridged,uint32_t,uint32_t
LL_RTC_EnterInitMode,Function,Other libraries and assets,not_bridged,ErrorStatus,RTC_TypeDef*
LL_RTC_Init,Function,Other libraries and assets,not_bridged,ErrorStatus,"RTC_TypeDef*, LL_RTC_InitTypeDef*"
LL_SPI_Init,Function,Other libraries and assets,not_bridged,ErrorStatus,"SPI_TypeDef*, LL_SPI_InitTypeDef*"
LL_SetSystemCoreClock,Function,Other libraries and assets,not_bridged,void,uint32_t
LL_TIM_DeInit,Function,Other libraries and assets,not_bridged,ErrorStatus,TIM_TypeDef*
LL_TIM_Init,Function,Other libraries and assets,not_bridged,ErrorStatus,"TIM_TypeDef*, const LL_TIM_InitTypeDef*"
LL_TIM_OC_Init,Function,Other libraries and assets,not_bridged,ErrorStatus,"TIM_TypeDef*, uint32_t, const LL_TIM_OC_InitTypeDef*"
LL_USART_Init,Function,Other libraries and assets,not_bridged,ErrorStatus,"USART_TypeDef*, const LL_USART_InitTypeDef*"
SystemCoreClock,Variable,Other libraries and assets,not_bridged,uint32_t,
__aeabi_f2d,Function,Other libraries and assets,not_bridged,double,float
__aeabi_uldivmod,Function,Other libraries and assets,not_bridged,void*,"uint64_t, uint64_t"
__assert_func,Function,Other libraries and assets,native_export_needs_arm_bridge,void,"const char*, int, const char*, const char*"
__clear_cache,Function,Other libraries and assets,not_bridged,void,"void*, void*"
__cxa_pure_virtual,Function,Other libraries and assets,not_bridged,void,
__errno,Function,Other libraries and assets,native_export_needs_arm_bridge,int*,
__furi_crash_implementation,Function,Other libraries and assets,bridged_subset,void,
__furi_critical_enter,Function,Other libraries and assets,not_bridged,__FuriCriticalInfo,
__furi_critical_exit,Function,Other libraries and assets,not_bridged,void,__FuriCriticalInfo
__furi_halt_implementation,Function,Other libraries and assets,not_bridged,void,
__retarget_lock_acquire,Function,Other libraries and assets,not_bridged,void,_LOCK_T
__retarget_lock_acquire_recursive,Function,Other libraries and assets,not_bridged,void,_LOCK_T
__retarget_lock_close_recursive,Function,Other libraries and assets,not_bridged,void,_LOCK_T
__retarget_lock_init_recursive,Function,Other libraries and assets,not_bridged,void,_LOCK_T*
__retarget_lock_release,Function,Other libraries and assets,not_bridged,void,_LOCK_T
__retarget_lock_release_recursive,Function,Other libraries and assets,not_bridged,void,_LOCK_T
__wrap___assert,Function,Other libraries and assets,not_bridged,void,"const char*, int, const char*"
__wrap___assert_func,Function,Other libraries and assets,not_bridged,void,"const char*, int, const char*, const char*"
__wrap_fflush,Function,Other libraries and assets,not_bridged,int,FILE*
__wrap_fgetc,Function,Other libraries and assets,not_bridged,int,FILE*
__wrap_fgets,Function,Other libraries and assets,not_bridged,char*,"char*, size_t, FILE*"
__wrap_getc,Function,Other libraries and assets,not_bridged,int,FILE*
__wrap_getchar,Function,Other libraries and assets,not_bridged,int,
__wrap_printf,Function,Other libraries and assets,not_bridged,int,"const char*, ..."
__wrap_putc,Function,Other libraries and assets,not_bridged,int,"int, FILE*"
__wrap_putchar,Function,Other libraries and assets,not_bridged,int,int
__wrap_puts,Function,Other libraries and assets,not_bridged,int,const char*
__wrap_snprintf,Function,Other libraries and assets,not_bridged,int,"char*, size_t, const char*, ..."
__wrap_strtod,Function,Other libraries and assets,not_bridged,double,"const char*, char**"
__wrap_strtof,Function,Other libraries and assets,not_bridged,float,"const char*, char**"
__wrap_ungetc,Function,Other libraries and assets,not_bridged,int,"int, FILE*"
__wrap_vsnprintf,Function,Other libraries and assets,not_bridged,int,"char*, size_t, const char*, va_list"
_ctype_,Variable,Other libraries and assets,native_export_needs_arm_bridge,const char[],
_impure_data,Variable,Other libraries and assets,not_bridged,_reent,
_impure_ptr,Variable,Other libraries and assets,not_bridged,_reent*,
abort,Function,Other libraries and assets,native_export_needs_arm_bridge,void,
aligned_free,Function,Other libraries and assets,not_bridged,void,void*
aligned_malloc,Function,Other libraries and assets,not_bridged,void*,"size_t, size_t"
args_char_to_hex,Function,Other libraries and assets,not_bridged,_Bool,"char, char, uint8_t*"
args_get_first_word_length,Function,Other libraries and assets,not_bridged,size_t,FuriString*
args_length,Function,Other libraries and assets,not_bridged,size_t,FuriString*
args_read_duration,Function,Other libraries and assets,not_bridged,_Bool,"FuriString*, uint32_t*, const char*"
args_read_float_and_trim,Function,Other libraries and assets,not_bridged,_Bool,"FuriString*, float*"
args_read_hex_bytes,Function,Other libraries and assets,not_bridged,_Bool,"FuriString*, uint8_t*, size_t"
args_read_int_and_trim,Function,Other libraries and assets,native_export_needs_arm_bridge,_Bool,"FuriString*, int*"
args_read_probably_quoted_string_and_trim,Function,Other libraries and assets,native_export_needs_arm_bridge,_Bool,"FuriString*, FuriString*"
args_read_string_and_trim,Function,Other libraries and assets,native_export_needs_arm_bridge,_Bool,"FuriString*, FuriString*"
atoi,Function,Other libraries and assets,native_export_needs_arm_bridge,int,const char*
bit_buffer_alloc,Function,Other libraries and assets,native_export_needs_arm_bridge,BitBuffer*,size_t
