"Path","State","OriginalNewer"
"boot_after_display_fix.log","New","False"
"boot_after_flash.log","New","False"
"boot_backup_fix.log","New","False"
"boot_dram_fix.log","New","False"
"boot_queue_fix_full.log","New","False"
"boot_queue_fix.log","New","False"
"boot_sd_retry.log","New","False"
"boot_wifi_off_dram_fix.log","New","False"
"device_app_after_flash.bin","New","False"
"device_app_before_backup_fix.bin","New","False"
"device_app_queue_fix_before_sd_patch.bin","New","False"
"device_coredump_current.bin","New","False"
"nfc_read_display8.log","New","False"
"sdkconfig","Different","False"
"sdkconfig.defaults.esp32s3","Different","False"
"subghz_cli_dram_fix.log","New","False"
"user_demo_serial.log","New","False"
"applications\main\nfc\scenes\nfc_scene_detect.c","Different","False"
"applications\main\streaming\mp3_decoder.c","Different","False"
"applications\main\streaming\mp3_i2s.c","Different","False"
"components\flipper_application\arm_fap\arm_fap_runtime.c","Different","False"
"components\flipper_application\flipper_application\flipper_application.c","Different","False"
"components\furi\core\event_flag.c","Different","False"
"components\furi\core\message_queue.c","Different","False"
"components\furi\core\mutex.c","Different","False"
"components\furi\core\semaphore.c","Different","False"
"components\furi\core\stream_buffer.c","Different","False"
"components\furi_hal\furi_hal_display.c","Different","False"
"components\furi_hal\furi_hal_sd.c","Different","False"
"components\furi_hal\furi_hal.c","Different","False"
"components\wifi\wlan_hal.c","Different","False"
"main\app_main.c","Different","False"
"tests\__pycache__\test_badusb_settings.cpython-312.pyc","New","False"
"tests\__pycache__\test_international_keyboard_descriptors.cpython-312.pyc","New","False"
